name,mem,cpu,proc,storage,net,cost
r5ad.24xlarge,768,96,AMD EPYC 7571,3600 GB                 (4 * 900 GB NVMe SSD),20,6.288
r5a.24xlarge,768,96,AMD EPYC 7571,EBS only,20,5.424
m5ad.24xlarge,384,96,AMD EPYC 7571,3600 GB                 (4 * 900 GB NVMe SSD),20,4.944
r5ad.16xlarge,512,64,AMD EPYC 7571,2400 GB                 (4 * 600 GB NVMe SSD),12,4.192
m5a.24xlarge,384,96,AMD EPYC 7571,EBS only,20,4.128
r5a.16xlarge,512,64,AMD EPYC 7571,EBS only,12,3.616
m5ad.16xlarge,256,64,AMD EPYC 7571,2400 GB                 (4 * 600 GB NVMe SSD),12,3.296
r5ad.12xlarge,384,48,AMD EPYC 7571,1800 GB                 (2 * 900 GB NVMe SSD),10,3.144
m5a.16xlarge,256,64,AMD EPYC 7571,EBS only,12,2.752
r5a.12xlarge,384,48,AMD EPYC 7571,EBS only,10,2.712
m5ad.12xlarge,192,48,AMD EPYC 7571,1800 GB                 (2 * 900 GB NVMe SSD),10,2.472
r5ad.8xlarge,256,32,AMD EPYC 7571,1200 GB                 (2 * 600 GB NVMe SSD),Up to 10,2.096
m5a.12xlarge,192,48,AMD EPYC 7571,EBS only,10,2.064
r5a.8xlarge,256,32,AMD EPYC 7571,EBS only,Up to 10,1.808
m5ad.8xlarge,128,32,AMD EPYC 7571,1200 GB                 (2 * 600 GB NVMe SSD),Up to 10,1.648
m5a.8xlarge,128,32,AMD EPYC 7571,EBS only,Up to 10,1.376
r5ad.4xlarge,128,16,AMD EPYC 7571,600 GB                 (2 * 300 GB NVMe SSD),Up to 10,1.048
r5a.4xlarge,128,16,AMD EPYC 7571,EBS only,Up to 10,0.904
m5ad.4xlarge,64,16,AMD EPYC 7571,600 GB                 (2 * 300 GB NVMe SSD),Up to 10,0.824
m5a.4xlarge,64,16,AMD EPYC 7571,EBS only,Up to 10,0.688
r5ad.2xlarge,64,8,AMD EPYC 7571,300 GB                 NVMe SSD,Up to 10,0.524
r5a.2xlarge,64,8,AMD EPYC 7571,EBS only,Up to 10,0.452
m5ad.2xlarge,32,8,AMD EPYC 7571,300 GB                 NVMe SSD,Up to 10,0.412
m5a.2xlarge,32,8,AMD EPYC 7571,EBS only,Up to 10,0.344
r5ad.xlarge,32,4,AMD EPYC 7571,150 GB                 NVMe SSD,Up to 10,0.262
r5a.xlarge,32,4,AMD EPYC 7571,EBS only,Up to 10,0.226
m5ad.xlarge,16,4,AMD EPYC 7571,150 GB                 NVMe SSD,Up to 10,0.206
m5a.xlarge,16,4,AMD EPYC 7571,EBS only,Up to 10,0.172
r5ad.large,16,2,AMD EPYC 7571,75 GB                 NVMe SSD,Up to 10,0.131
r5a.large,16,2,AMD EPYC 7571,EBS only,Up to 10,0.113
m5ad.large,8,2,AMD EPYC 7571,75 GB                 NVMe SSD,Up to 10,0.103
m5a.large,8,2,AMD EPYC 7571,EBS only,Up to 10,0.086
r6a.48xlarge,1536,192,AMD EPYC 7R13 Processor,EBS only,50,10.8864
r6a.metal,1536,192,AMD EPYC 7R13 Processor,EBS only,50,10.8864
m6a.48xlarge,768,192,AMD EPYC 7R13 Processor,EBS only,50,8.2944
m6a.metal,768,192,AMD EPYC 7R13 Processor,EBS only,50,8.2944
c6a.48xlarge,384,192,AMD EPYC 7R13 Processor,EBS only,50,7.344
c6a.metal,384,192,AMD EPYC 7R13 Processor,EBS only,50,7.344
r6a.32xlarge,1024,128,AMD EPYC 7R13 Processor,EBS only,50,7.2576
m6a.32xlarge,512,128,AMD EPYC 7R13 Processor,EBS only,50,5.5296
r6a.24xlarge,768,96,AMD EPYC 7R13 Processor,EBS only,37.5,5.4432
c6a.32xlarge,256,128,AMD EPYC 7R13 Processor,EBS only,50,4.896
m6a.24xlarge,384,96,AMD EPYC 7R13 Processor,EBS only,37.5,4.1472
c6a.24xlarge,192,96,AMD EPYC 7R13 Processor,EBS only,37.5,3.672
r6a.16xlarge,512,64,AMD EPYC 7R13 Processor,EBS only,25,3.6288
m6a.16xlarge,256,64,AMD EPYC 7R13 Processor,EBS only,25,2.7648
r6a.12xlarge,384,48,AMD EPYC 7R13 Processor,EBS only,18.75,2.7216
c6a.16xlarge,128,64,AMD EPYC 7R13 Processor,EBS only,25,2.448
m6a.12xlarge,192,48,AMD EPYC 7R13 Processor,EBS only,18.75,2.0736
c6a.12xlarge,96,48,AMD EPYC 7R13 Processor,EBS only,18.75,1.836
r6a.8xlarge,256,32,AMD EPYC 7R13 Processor,EBS only,12.5,1.8144
m6a.8xlarge,128,32,AMD EPYC 7R13 Processor,EBS only,12.5,1.3824
c6a.8xlarge,64,32,AMD EPYC 7R13 Processor,EBS only,12.5,1.224
r6a.4xlarge,128,16,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.9072
m6a.4xlarge,64,16,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.6912
c6a.4xlarge,32,16,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.612
r6a.2xlarge,64,8,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.4536
m6a.2xlarge,32,8,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.3456
c6a.2xlarge,16,8,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.306
r6a.xlarge,32,4,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.2268
m6a.xlarge,16,4,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.1728
c6a.xlarge,8,4,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.153
r6a.large,16,2,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.1134
m6a.large,8,2,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.0864
c6a.large,4,2,AMD EPYC 7R13 Processor,EBS only,Up to 12.5,0.0765
c5ad.24xlarge,192,96,AMD EPYC 7R32,3800 GB                 (2 * 1900 GB NVMe SSD),20,4.128
c5a.24xlarge,192,96,AMD EPYC 7R32,EBS only,20,3.696
c5ad.16xlarge,128,64,AMD EPYC 7R32,2400 GB                 (2 * 1200 GB NVMe SSD),20,2.752
c5a.16xlarge,128,64,AMD EPYC 7R32,EBS only,20,2.464
c5ad.12xlarge,96,48,AMD EPYC 7R32,1800 GB                 (2 * 900 GB NVMe SSD),12,2.064
c5a.12xlarge,96,48,AMD EPYC 7R32,EBS only,12,1.848
c5ad.8xlarge,64,32,AMD EPYC 7R32,1200 GB                 (2 * 600 GB NVMe SSD),10,1.376
c5a.8xlarge,64,32,AMD EPYC 7R32,EBS only,10,1.232
c5ad.4xlarge,32,16,AMD EPYC 7R32,600 GB                 (2 * 300 GB NVMe SSD),Up to 10,0.688
c5a.4xlarge,32,16,AMD EPYC 7R32,EBS only,Up to 10,0.616
c5ad.2xlarge,16,8,AMD EPYC 7R32,300 GB                 NVMe SSD,Up to 10,0.344
c5a.2xlarge,16,8,AMD EPYC 7R32,EBS only,Up to 10,0.308
c5ad.xlarge,8,4,AMD EPYC 7R32,150 GB                 NVMe SSD,Up to 10,0.172
c5a.xlarge,8,4,AMD EPYC 7R32,EBS only,Up to 10,0.154
c5ad.large,4,2,AMD EPYC 7R32,75 GB                 NVMe SSD,Up to 10,0.086
c5a.large,4,2,AMD EPYC 7R32,EBS only,Up to 10,0.077
a1.4xlarge,32,16,AWS Graviton Processor,EBS only,Up to 10,0.408
a1.metal,32,16,AWS Graviton Processor,EBS only,Up to 10,0.408
a1.2xlarge,16,8,AWS Graviton Processor,EBS only,Up to 10,0.204
a1.xlarge,8,4,AWS Graviton Processor,EBS only,Up to 10,0.102
a1.large,4,2,AWS Graviton Processor,EBS only,Up to 10,0.051
a1.medium,2,1,AWS Graviton Processor,EBS only,Up to 10,0.0255
im4gn.16xlarge,256,64,AWS Graviton2 Processor,30000 GB                 (4 * 7500 GB NVMe SSD),100,5.8207
x2gd.16xlarge,1024,64,AWS Graviton2 Processor,3800 GB                 (2 * 1900 GB NVMe SSD),25,5.344
x2gd.metal,1024,64,AWS Graviton2 Processor,3800 GB                 (2 * 1900 GB NVMe SSD),25,5.344
i4g.16xlarge,512,64,AWS Graviton2 Processor,15000 GB                 (4 * 3750 GB NVMe SSD),37.5,4.9421
is4gen.8xlarge,192,32,AWS Graviton2 Processor,30000 GB                 (4 * 7500 GB NVMe SSD),50,4.6104
x2gd.12xlarge,768,48,AWS Graviton2 Processor,2850 GB                 (2 * 1425 GB NVMe SSD),20,4.008
r6gd.16xlarge,512,64,AWS Graviton2 Processor,3800 GB                 (2 * 1900 GB NVMe SSD),25,3.6864
r6gd.metal,512,64,AWS Graviton2 Processor,3800 GB                 (2 * 1900 GB NVMe SSD),25,3.6864
r6g.16xlarge,512,64,AWS Graviton2 Processor,EBS only,25,3.2256
r6g.metal,512,64,AWS Graviton2 Processor,EBS only,25,3.2256
im4gn.8xlarge,128,32,AWS Graviton2 Processor,15000 GB                 (2 * 7500 GB NVMe SSD),50,2.9103
m6gd.16xlarge,256,64,AWS Graviton2 Processor,3800 GB                 (2 * 1900 GB NVMe SSD),25,2.8928
m6gd.metal,256,64,AWS Graviton2 Processor,3800 GB                 (2 * 1900 GB NVMe SSD),25,2.8928
c6gn.16xlarge,128,64,AWS Graviton2 Processor,EBS only,100,2.7648
r6gd.12xlarge,384,48,AWS Graviton2 Processor,2850 GB                 (2 * 1425 GB NVMe SSD),20,2.7648
x2gd.8xlarge,512,32,AWS Graviton2 Processor,1900 GB                 NVMe SSD,12,2.672
i4g.8xlarge,256,32,AWS Graviton2 Processor,7500 GB                 (2 * 3750 GB NVMe SSD),18.75,2.471
m6g.16xlarge,256,64,AWS Graviton2 Processor,EBS only,25,2.464
m6g.metal,256,64,AWS Graviton2 Processor,EBS only,25,2.464
c6gd.16xlarge,128,64,AWS Graviton2 Processor,3800 GB                 (2 * 1900 GB NVMe SSD),25,2.4576
c6gd.metal,128,64,AWS Graviton2 Processor,3800 GB                 (2 * 1900 GB NVMe SSD),25,2.4576
r6g.12xlarge,384,48,AWS Graviton2 Processor,EBS only,20,2.4192
is4gen.4xlarge,96,16,AWS Graviton2 Processor,15000 GB                 (2 * 7500 GB NVMe SSD),25,2.3052
c6g.16xlarge,128,64,AWS Graviton2 Processor,EBS only,25,2.176
c6g.metal,128,64,AWS Graviton2 Processor,EBS only,25,2.176
m6gd.12xlarge,192,48,AWS Graviton2 Processor,2850 GB                 (2 * 1425 GB NVMe SSD),20,2.1696
c6gn.12xlarge,96,48,AWS Graviton2 Processor,EBS only,75,2.0736
m6g.12xlarge,192,48,AWS Graviton2 Processor,EBS only,20,1.848
c6gd.12xlarge,96,48,AWS Graviton2 Processor,2850 GB                 (2 * 1425 GB NVMe SSD),20,1.8432
r6gd.8xlarge,256,32,AWS Graviton2 Processor,1900 GB                 NVMe SSD,12,1.8432
c6g.12xlarge,96,48,AWS Graviton2 Processor,EBS only,20,1.632
r6g.8xlarge,256,32,AWS Graviton2 Processor,EBS only,12,1.6128
im4gn.4xlarge,64,16,AWS Graviton2 Processor,7500 GB                 NVMe SSD,25,1.4552
m6gd.8xlarge,128,32,AWS Graviton2 Processor,1900 GB                 NVMe SSD,12,1.4464
c6gn.8xlarge,64,32,AWS Graviton2 Processor,EBS only,50,1.3824
x2gd.4xlarge,256,16,AWS Graviton2 Processor,950 GB                 NVMe SSD,Up to 10,1.336
i4g.4xlarge,128,16,AWS Graviton2 Processor,3750 GB                 NVMe SSD,Up to 25,1.2355
m6g.8xlarge,128,32,AWS Graviton2 Processor,EBS only,12,1.232
c6gd.8xlarge,64,32,AWS Graviton2 Processor,1900 GB                 NVMe SSD,12,1.2288
is4gen.2xlarge,48,8,AWS Graviton2 Processor,7500 GB                 NVMe SSD,Up to 25,1.1526
c6g.8xlarge,64,32,AWS Graviton2 Processor,EBS only,12,1.088
r6gd.4xlarge,128,16,AWS Graviton2 Processor,950 GB                 NVMe SSD,Up to 10,0.9216
r6g.4xlarge,128,16,AWS Graviton2 Processor,EBS only,Up to 10,0.8064
im4gn.2xlarge,32,8,AWS Graviton2 Processor,3750 GB                 NVMe SSD,Up to 25,0.7276
m6gd.4xlarge,64,16,AWS Graviton2 Processor,950 GB                 NVMe SSD,Up to 10,0.7232
c6gn.4xlarge,32,16,AWS Graviton2 Processor,EBS only,Up to 25,0.6912
x2gd.2xlarge,128,8,AWS Graviton2 Processor,475 GB                 NVMe SSD,Up to 10,0.668
i4g.2xlarge,64,8,AWS Graviton2 Processor,1875 GB                 NVMe SSD,Up to 12,0.6178
m6g.4xlarge,64,16,AWS Graviton2 Processor,EBS only,Up to 10,0.616
c6gd.4xlarge,32,16,AWS Graviton2 Processor,950 GB                 NVMe SSD,Up to 10,0.6144
is4gen.xlarge,24,4,AWS Graviton2 Processor,3750 GB                 NVMe SSD,Up to 25,0.5763
c6g.4xlarge,32,16,AWS Graviton2 Processor,EBS only,Up to 10,0.544
r6gd.2xlarge,64,8,AWS Graviton2 Processor,474 GB                 NVMe SSD,Up to 10,0.4608
r6g.2xlarge,64,8,AWS Graviton2 Processor,EBS only,Up to 10,0.4032
im4gn.xlarge,16,4,AWS Graviton2 Processor,1875 GB                 NVMe SSD,Up to 25,0.3638
m6gd.2xlarge,32,8,AWS Graviton2 Processor,474 GB                 NVMe SSD,Up to 10,0.3616
c6gn.2xlarge,16,8,AWS Graviton2 Processor,EBS only,Up to 25,0.3456
x2gd.xlarge,64,4,AWS Graviton2 Processor,237 GB                 NVMe SSD,Up to 10,0.334
i4g.xlarge,32,4,AWS Graviton2 Processor,937 GB                 NVMe SSD,Up to 10,0.3089
m6g.2xlarge,32,8,AWS Graviton2 Processor,EBS only,Up to 10,0.308
c6gd.2xlarge,16,8,AWS Graviton2 Processor,474 GB                 NVMe SSD,Up to 10,0.3072
is4gen.large,12,2,AWS Graviton2 Processor,1875 GB                 NVMe SSD,Up to 25,0.2882
c6g.2xlarge,16,8,AWS Graviton2 Processor,EBS only,Up to 10,0.272
r6gd.xlarge,32,4,AWS Graviton2 Processor,237 GB                 NVMe SSD,Up to 10,0.2304
r6g.xlarge,32,4,AWS Graviton2 Processor,EBS only,Up to 10,0.2016
im4gn.large,8,2,AWS Graviton2 Processor,937 GB                 NVMe SSD,Up to 25,0.1819
m6gd.xlarge,16,4,AWS Graviton2 Processor,237 GB                 NVMe SSD,Up to 10,0.1808
c6gn.xlarge,8,4,AWS Graviton2 Processor,EBS only,Up to 25,0.1728
x2gd.large,32,2,AWS Graviton2 Processor,118 GB                 NVMe SSD,Up to 10,0.167
i4g.large,16,2,AWS Graviton2 Processor,468 GB                 NVMe SSD,Up to 10,0.1544
m6g.xlarge,16,4,AWS Graviton2 Processor,EBS only,Up to 10,0.154
c6gd.xlarge,8,4,AWS Graviton2 Processor,237 GB                 NVMe SSD,Up to 10,0.1536
is4gen.medium,6,1,AWS Graviton2 Processor,937 GB                 NVMe SSD,Up to 25,0.1441
c6g.xlarge,8,4,AWS Graviton2 Processor,EBS only,Up to 10,0.136
r6gd.large,16,2,AWS Graviton2 Processor,118 GB                 NVMe SSD,Up to 10,0.1152
r6g.large,16,2,AWS Graviton2 Processor,EBS only,Up to 10,0.1008
m6gd.large,8,2,AWS Graviton2 Processor,118 GB                 NVMe SSD,Up to 10,0.0904
c6gn.large,4,2,AWS Graviton2 Processor,EBS only,Up to 25,0.0864
x2gd.medium,16,1,AWS Graviton2 Processor,59 GB                 NVMe SSD,Up to 10,0.0835
m6g.large,8,2,AWS Graviton2 Processor,EBS only,Up to 10,0.077
c6gd.large,4,2,AWS Graviton2 Processor,118 GB                 NVMe SSD,Up to 10,0.0768
c6g.large,4,2,AWS Graviton2 Processor,EBS only,Up to 10,0.068
r6gd.medium,8,1,AWS Graviton2 Processor,59 GB                 NVMe SSD,Up to 10,0.0576
r6g.medium,8,1,AWS Graviton2 Processor,EBS only,Up to 10,0.0504
m6gd.medium,4,1,AWS Graviton2 Processor,59 GB                 NVMe SSD,Up to 10,0.0452
c6gn.medium,2,1,AWS Graviton2 Processor,EBS only,Up to 16,0.0432
m6g.medium,4,1,AWS Graviton2 Processor,EBS only,Up to 10,0.0385
c6gd.medium,2,1,AWS Graviton2 Processor,59 GB                 NVMe SSD,Up to 10,0.0384
c6g.medium,2,1,AWS Graviton2 Processor,EBS only,Up to 10,0.034
r7g.16xlarge,512,64,AWS Graviton3 Processor,EBS only,30,3.4272
r7g.metal,512,64,AWS Graviton3 Processor,EBS only,30,3.4272
m7g.16xlarge,256,64,AWS Graviton3 Processor,EBS only,30,2.6112
m7g.metal,256,64,AWS Graviton3 Processor,EBS only,30,2.6112
r7g.12xlarge,384,48,AWS Graviton3 Processor,EBS only,22.5,2.5704
c7g.16xlarge,128,64,AWS Graviton3 Processor,EBS only,30,2.32
c7g.metal,128,64,AWS Graviton3 Processor,EBS only,30,2.32
m7g.12xlarge,192,48,AWS Graviton3 Processor,EBS only,22.5,1.9584
c7g.12xlarge,96,48,AWS Graviton3 Processor,EBS only,22.5,1.74
r7g.8xlarge,256,32,AWS Graviton3 Processor,EBS only,15,1.7136
m7g.8xlarge,128,32,AWS Graviton3 Processor,EBS only,15,1.3056
c7g.8xlarge,64,32,AWS Graviton3 Processor,EBS only,15,1.16
r7g.4xlarge,128,16,AWS Graviton3 Processor,EBS only,Up to 15,0.8568
m7g.4xlarge,64,16,AWS Graviton3 Processor,EBS only,Up to 15,0.6528
c7g.4xlarge,32,16,AWS Graviton3 Processor,EBS only,Up to 15,0.58
r7g.2xlarge,64,8,AWS Graviton3 Processor,EBS only,Up to 15,0.4284
m7g.2xlarge,32,8,AWS Graviton3 Processor,EBS only,Up to 15,0.3264
c7g.2xlarge,16,8,AWS Graviton3 Processor,EBS only,Up to 15,0.29
r7g.xlarge,32,4,AWS Graviton3 Processor,EBS only,Up to 12.5,0.2142
m7g.xlarge,16,4,AWS Graviton3 Processor,EBS only,Up to 12.5,0.1632
c7g.xlarge,8,4,AWS Graviton3 Processor,EBS only,Up to 12.5,0.145
r7g.large,16,2,AWS Graviton3 Processor,EBS only,Up to 12.5,0.1071
m7g.large,8,2,AWS Graviton3 Processor,EBS only,Up to 12.5,0.0816
c7g.large,4,2,AWS Graviton3 Processor,EBS only,Up to 12.5,0.0725
r7g.medium,8,1,AWS Graviton3 Processor,EBS only,Up to 12.5,0.0536
m7g.medium,4,1,AWS Graviton3 Processor,EBS only,Up to 12.5,0.0408
c7g.medium,2,1,AWS Graviton3 Processor,EBS only,Up to 12.5,0.0363
x1e.32xlarge,3904,128,High Frequency Intel Xeon E7-8880 v3 (Haswell),3840 GB                 (2 * 1920 GB SSD),25,26.688
x1e.16xlarge,1952,64,High Frequency Intel Xeon E7-8880 v3 (Haswell),1920 GB                 SSD,10,13.344
x1.32xlarge,1952,128,High Frequency Intel Xeon E7-8880 v3 (Haswell),3840 GB                 (2 * 1920 GB SSD),25,13.338
x1e.8xlarge,976,32,High Frequency Intel Xeon E7-8880 v3 (Haswell),960 GB                 SSD,Up to 10,6.672
x1.16xlarge,976,64,High Frequency Intel Xeon E7-8880 v3 (Haswell),1920 GB                 SSD,10,6.669
x1e.4xlarge,488,16,High Frequency Intel Xeon E7-8880 v3 (Haswell),480 GB                 SSD,Up to 10,3.336
x1e.2xlarge,244,8,High Frequency Intel Xeon E7-8880 v3 (Haswell),240 GB                 SSD,Up to 10,1.668
x1e.xlarge,122,4,High Frequency Intel Xeon E7-8880 v3 (Haswell),120 GB                 SSD,Up to 10,0.834
r6idn.32xlarge,1024,128,Intel Xeon 8375C (Ice Lake),7600 GB                 (4 * 1900 GB NVMe SSD),200,12.505
r6idn.metal,1024,128,Intel Xeon 8375C (Ice Lake),7600 GB                 (4 * 1900 GB NVMe SSD),200,12.505
r6in.32xlarge,1024,128,Intel Xeon 8375C (Ice Lake),EBS only,200,11.1571
r6in.metal,1024,128,Intel Xeon 8375C (Ice Lake),EBS only,200,11.1571
i4i.32xlarge,1024,128,Intel Xeon 8375C (Ice Lake),30000 GB                 (8 * 3750 GB NVMe SSD),75,10.9824
i4i.metal,1024,128,Intel Xeon 8375C (Ice Lake),30000 GB                 (8 * 3750 GB NVMe SSD),75,10.982
m6idn.32xlarge,512,128,Intel Xeon 8375C (Ice Lake),7600 GB                 (4 * 1900 GB NVMe SSD),200,10.1837
m6idn.metal,512,128,Intel Xeon 8375C (Ice Lake),7600 GB                 (4 * 1900 GB NVMe SSD),200,10.1837
r6id.32xlarge,1024,128,Intel Xeon 8375C (Ice Lake),7600 GB                 (4 * 1900 GB NVMe SSD),50,9.6768
r6id.metal,1024,128,Intel Xeon 8375C (Ice Lake),7600 GB                 (4 * 1900 GB NVMe SSD),50,9.6768
r6idn.24xlarge,768,96,Intel Xeon 8375C (Ice Lake),5700 GB                 (4 * 1425 GB NVMe SSD),150,9.3787
m6in.32xlarge,512,128,Intel Xeon 8375C (Ice Lake),EBS only,200,8.9107
m6in.metal,512,128,Intel Xeon 8375C (Ice Lake),EBS only,200,8.9107
r6in.24xlarge,768,96,Intel Xeon 8375C (Ice Lake),EBS only,150,8.3678
r6i.32xlarge,1024,128,Intel Xeon 8375C (Ice Lake),EBS only,50,8.064
r6i.metal,1024,128,Intel Xeon 8375C (Ice Lake),EBS only,50,8.064
m6idn.24xlarge,384,96,Intel Xeon 8375C (Ice Lake),5700 GB                 (4 * 1425 GB NVMe SSD),150,7.6378
m6id.32xlarge,512,128,Intel Xeon 8375C (Ice Lake),7600 GB                 (4 * 1900 GB NVMe SSD),50,7.5936
m6id.metal,512,128,Intel Xeon 8375C (Ice Lake),7600 GB                 (4 * 1900 GB NVMe SSD),50,7.5936
c6in.32xlarge,256,128,Intel Xeon 8375C (Ice Lake),EBS only,200,7.2576
c6in.metal,256,128,Intel Xeon 8375C (Ice Lake),EBS only,200,7.2576
r6id.24xlarge,768,96,Intel Xeon 8375C (Ice Lake),5700 GB                 (4 * 1425 GB NVMe SSD),37.5,7.2576
m6in.24xlarge,384,96,Intel Xeon 8375C (Ice Lake),EBS only,150,6.683
c6id.32xlarge,256,128,Intel Xeon 8375C (Ice Lake),7600 GB                 (4 * 1900 GB NVMe SSD),50,6.4512
c6id.metal,256,128,Intel Xeon 8375C (Ice Lake),7600 GB                 (4 * 1900 GB NVMe SSD),50,6.4512
r6idn.16xlarge,512,64,Intel Xeon 8375C (Ice Lake),3800 GB                 (2 * 1900 GB NVMe SSD),100,6.2525
m6i.32xlarge,512,128,Intel Xeon 8375C (Ice Lake),EBS only,50,6.144
m6i.metal,512,128,Intel Xeon 8375C (Ice Lake),EBS only,50,6.144
r6i.24xlarge,768,96,Intel Xeon 8375C (Ice Lake),EBS only,37.5,6.048
m6id.24xlarge,384,96,Intel Xeon 8375C (Ice Lake),5700 GB                 (4 * 1425 GB NVMe SSD),37.5,5.6952
r6in.16xlarge,512,64,Intel Xeon 8375C (Ice Lake),EBS only,100,5.5786
i4i.16xlarge,512,64,Intel Xeon 8375C (Ice Lake),15000 GB                 (4 * 3750 GB NVMe SSD),37.5,5.491
c6in.24xlarge,192,96,Intel Xeon 8375C (Ice Lake),EBS only,150,5.4432
c6i.32xlarge,256,128,Intel Xeon 8375C (Ice Lake),EBS only,50,5.44
c6i.metal,256,128,Intel Xeon 8375C (Ice Lake),EBS only,50,5.44
m6idn.16xlarge,256,64,Intel Xeon 8375C (Ice Lake),3800 GB                 (2 * 1900 GB NVMe SSD),100,5.0918
c6id.24xlarge,192,96,Intel Xeon 8375C (Ice Lake),5700 GB                 (4 * 1425 GB NVMe SSD),37.5,4.8384
r6id.16xlarge,512,64,Intel Xeon 8375C (Ice Lake),3800 GB                 (2 * 1900 GB NVMe SSD),25,4.8384
r6idn.12xlarge,384,48,Intel Xeon 8375C (Ice Lake),2850 GB                 (2 * 1425 GB NVMe SSD),75,4.6894
m6i.24xlarge,384,96,Intel Xeon 8375C (Ice Lake),EBS only,37.5,4.608
m6in.16xlarge,256,64,Intel Xeon 8375C (Ice Lake),EBS only,100,4.4554
r6in.12xlarge,384,48,Intel Xeon 8375C (Ice Lake),EBS only,75,4.1839
c6i.24xlarge,192,96,Intel Xeon 8375C (Ice Lake),EBS only,37.5,4.08
r6i.16xlarge,512,64,Intel Xeon 8375C (Ice Lake),EBS only,25,4.032
m6idn.12xlarge,192,48,Intel Xeon 8375C (Ice Lake),2850 GB                 (2 * 1425 GB NVMe SSD),75,3.8189
m6id.16xlarge,256,64,Intel Xeon 8375C (Ice Lake),3800 GB                 (2 * 1900 GB NVMe SSD),25,3.7968
c6in.16xlarge,128,64,Intel Xeon 8375C (Ice Lake),EBS only,100,3.6288
r6id.12xlarge,384,48,Intel Xeon 8375C (Ice Lake),2850 GB                 (2 * 1425 GB NVMe SSD),18.75,3.6288
m6in.12xlarge,192,48,Intel Xeon 8375C (Ice Lake),EBS only,75,3.3415
c6id.16xlarge,128,64,Intel Xeon 8375C (Ice Lake),3800 GB                 (2 * 1900 GB NVMe SSD),25,3.2256
r6idn.8xlarge,256,32,Intel Xeon 8375C (Ice Lake),1900 GB                 NVMe SSD,50,3.1262
m6i.16xlarge,256,64,Intel Xeon 8375C (Ice Lake),EBS only,25,3.072
r6i.12xlarge,384,48,Intel Xeon 8375C (Ice Lake),EBS only,18.75,3.024
m6id.12xlarge,192,48,Intel Xeon 8375C (Ice Lake),2850 GB                 (2 * 1425 GB NVMe SSD),18.75,2.8476
r6in.8xlarge,256,32,Intel Xeon 8375C (Ice Lake),EBS only,50,2.7893
i4i.8xlarge,256,32,Intel Xeon 8375C (Ice Lake),7500 GB                 (2 * 3750 GB NVMe SSD),18.75,2.746
c6in.12xlarge,96,48,Intel Xeon 8375C (Ice Lake),EBS only,75,2.7216
c6i.16xlarge,128,64,Intel Xeon 8375C (Ice Lake),EBS only,25,2.72
m6idn.8xlarge,128,32,Intel Xeon 8375C (Ice Lake),1900 GB                 NVMe SSD,50,2.5459
c6id.12xlarge,96,48,Intel Xeon 8375C (Ice Lake),2850 GB                 (2 * 1425 GB NVMe SSD),18.75,2.4192
r6id.8xlarge,256,32,Intel Xeon 8375C (Ice Lake),1900 GB                 NVMe SSD,12.5,2.4192
m6i.12xlarge,192,48,Intel Xeon 8375C (Ice Lake),EBS only,18.75,2.304
m6in.8xlarge,128,32,Intel Xeon 8375C (Ice Lake),EBS only,50,2.2277
c6i.12xlarge,96,48,Intel Xeon 8375C (Ice Lake),EBS only,18.75,2.04
r6i.8xlarge,256,32,Intel Xeon 8375C (Ice Lake),EBS only,12.5,2.016
m6id.8xlarge,128,32,Intel Xeon 8375C (Ice Lake),1900 GB                 NVMe SSD,12.5,1.8984
c6in.8xlarge,64,32,Intel Xeon 8375C (Ice Lake),EBS only,50,1.8144
c6id.8xlarge,64,32,Intel Xeon 8375C (Ice Lake),1900 GB                 NVMe SSD,12.5,1.6128
